 12244.9773   8164.3797    1.057   16818  7\2  24982  7\2  27.8   II     
 12242.8674   8165.7867     .306   29418  2    21252  2    27.9   I      
 12237.3313   8169.4809     .344   29422  1    21252  2    30.7   I      
 12236.5480   8170.0038     .854   14226  0    22396  1    28.2   I      
 12234.9457   8171.0738     .421   31774  3    23603  2    27.6   I      
 12233.1977   8172.2413   13.869   22637  3    14465  2    26.8   I      
 12231.9445   8173.0786   60.674   18699  2    10526  3    26.4   I      
 12229.3415   8174.8182     .473   15970  3     7795  4    27.7   I      
 12226.6003   8176.6510     .380   17398  3    25575  4    27.0   I      
 12226.1809   8176.9315    5.296   20054  2    11877  1    27.1   I      
 12223.7792   8178.5381     .602   18699  2    26878  3    27.4   I      
 12216.4160   8183.4675     .413   32458  4    24274  5    28.5   I      
 12211.8664   8186.5163    1.036   26255  4    18069  3    26.7   I      
 12207.4631   8189.4692    1.050   17166  5    25355  4    27.1   I      
 12206.8935   8189.8514   14.699    3687  2    11877  1    27.0   I      
 12194.1636   8198.4010   10.216    1521  5\2   9720  7\2  27.0   II     
 12182.0205   8206.5732    1.287    9804  5    18011  5    27.5   I      
 12178.4471   8208.9812     .994   32293  5    24084  6    26.9   I      
 12177.6027   8209.5504    1.215                           26.9          
 12171.8153   8213.4538    3.206    4961  4    13175  4    27.1   I      
 12171.7332   8213.5092    1.663   30552  4    22338  3    28.1   I      
 12167.8194   8216.1511    1.350   11601  1    19817  1    28.1   I      
 12162.4237   8219.7961    3.736   34943  6    26723  6    26.7   I      
 12149.4339   8228.5844     .786                           27.6          
 12146.3782   8230.6545     .246                           28.1          
 12146.3149   8230.6974     .801                           27.5          
 12140.9493   8234.3349    3.128   27044  3    18809  4    26.4   I      
 12132.0153   8240.3986    2.152   28562  4    20322  5    27.0   I      
 12129.4240   8242.1591   10.261   13297  4    21539  4    27.1   I      
 12128.9014   8242.5142     .444   30132  2    21890  3    31.7   I      
 12127.3015   8243.6016   29.250       0  2     8243  2    26.8   I      
 12126.4192   8244.2014   12.314   26255  4    18011  5    26.9   I      
 12119.6424   8248.8112    2.432    9804  5    18053  4    25.8   I      
 12109.4340   8255.7650    1.833   28679  2    20423  1    27.9   I      
 12109.3076   8255.8512     .590   31271  5    23015  5    29.6   I      
 12099.7796   8262.3523     .954   32963  5    24701  5    26.9   I      
 12086.5132   8271.4212     .464    9711  7\2  17983  5\2  26.2   II     
 12086.2551   8271.5978     .332   35149  2    26878  3    29.5   I      
 12082.2175   8274.3620     .813   31929  3    23655  4    27.7   I      
 12077.9232   8277.3039     .442    7176  2    15453  3    28.2   III    
 12075.5354   8278.9407     .359   28845  4    20566  4    25.5   I      
 12074.6623   8279.5393    1.084   28227  4    19948  4    27.0   I      
 12064.1066   8286.7836     .313   21594  3    29881  4    27.3   I      
 12061.5400   8288.5470     .408   32041  2    23752  2    34.7   I      
 12051.2623   8295.6157     .403   30544  2    22248  2    26.5   I      
 12042.9410   8301.3477     .358   30971  4    22669  3    28.1   I      
 12038.2447   8304.5862     .305   27343  3    19039  2    28.3   I      
 12037.6375   8305.0051    2.749   17398  3    25703  2    27.1   I      
 12020.0914   8317.1281     .503   12847  3    21165  3    26.6   I      
 12018.7165   8318.0796   38.046   24664  3    16346  4    26.5   I      
 12018.0510   8318.5402    5.570   15863  2    24182  2    26.1   I      
 12015.9451   8319.9981    3.002   31626  5    23306  6    26.9   I      
 12015.4744   8320.3240     .462   19532  4    27852  5    27.0   I      
 12007.8605   8325.5997    1.723    4146  7\2  12472  5\2  27.1   II     
 12005.9531   8326.9224     .318   26380  5    18053  4    29.3   I      
 11984.6685   8341.7109   16.002    4146  7\2  12488  9\2  26.9   II     
 11980.1317   8344.8698     .455   30508  5    22163  4    27.0   I      
 11979.8745   8345.0490     .397   15786  5\2  24132  3\2  29.0   II     
 11976.0205   8347.7345     .317   28562  4    20214  3    27.9   I      
 11974.1348   8349.0491     .639   32551  3    24202  4    26.6   I      
 11961.5713   8357.8183     .451   32012  4    23655  4    26.6   I      
 11960.1445   8358.8153     .660    4113  5\2  12472  5\2  27.8   II     
