,ref_lambda,lower,upper,click_selected
359,3406.838551,3406.77041422898,3406.9066877710197,False
360,3408.749883,3408.6817080023397,3408.8180579976597,False
361,3409.269918,3409.20173260164,3409.3381033983596,False
362,3414.298714,3414.23042802572,3414.3669999742797,False
363,3417.497794,3417.42944404412,3417.5661439558794,False
364,3418.775515,3418.7071394897,3418.8438905102994,False
365,3419.173303,3419.10491953394,3419.24168646606,False
366,3423.129072,3423.06060941856,3423.19753458144,False
367,3423.707094,3423.63861985812,3423.7755681418794,False
368,3423.989681,3423.92120120638,3424.0581607936197,False
369,3426.742667,3426.6741321466598,3426.8112018533398,False
370,3427.993575,3427.9250151285,3428.0621348714994,False
371,3428.999181,3428.93060101638,3429.06776098362,False
372,3429.38927,3429.3206822146,3429.4578577854,False
373,3430.12733,3430.0587274533996,3430.1959325465996,False
374,3431.263949,3431.19532372102,3431.33257427898,False
375,3433.555396,3433.48672489208,3433.62406710792,False
376,3435.977129,3435.90840945742,3436.0458485425797,False
377,3437.307095,3437.2383488581,3437.3758411419,False
378,3438.950331,3438.88155199338,3439.0191100066195,False
379,3439.398751,3439.3299630249803,3439.46753897502,False
380,3441.186038,3441.1172142792398,3441.2548617207594,False
381,3441.364697,3441.29586970606,3441.4335242939396,False
382,3441.526792,3441.4579614641602,3441.59562253584,False
383,3445.217278,3445.14837365444,3445.2861823455596,False
384,3445.744152,3445.67523711696,3445.81306688304,False
385,3446.547456,3446.47852505088,3446.6163869491193,False
386,3448.948718,3448.87973902564,3449.0176969743598,False
387,3449.287076,3449.21809025848,3449.3560617415196,False
388,3450.947518,3450.8784990496397,3451.0165369503598,False
389,3451.702372,3451.63333795256,3451.77140604744,False
390,3452.682073,3452.61301935854,3452.7511266414595,False
391,3454.094963,3454.0258811007398,3454.16404489926,False
392,3455.272624,3455.20351854752,3455.3417294524797,False
393,3456.441731,3456.3726021653797,3456.5108598346196,False
394,3457.433993,3457.36484432014,3457.5031416798597,False
395,3458.141342,3458.07217917316,3458.2105048268395,False
396,3458.458644,3458.3894748271196,3458.5278131728796,False
397,3461.018679,3460.9494586264195,3461.0878993735796,False
398,3461.217251,3461.14802665498,3461.28647534502,False
399,3461.652462,3461.58322895076,3461.7216950492398,False
400,3462.850565,3462.7813079887,3462.9198220113,False
401,3463.71971,3463.6504356058,3463.7889843941994,False
402,3466.33295,3466.263623341,3466.4022766589997,False
403,3466.896805,3466.8274670639,3466.9661429360995,False
404,3467.930794,3467.86143538412,3468.0001526158794,False
405,3468.219799,3468.15043460402,3468.28916339598,False
406,3469.345454,3469.2760670909197,3469.4148409090794,False
407,3469.920804,3469.8514055839196,3469.9902024160797,False
408,3470.567491,3470.4980796501795,3470.6369023498196,False
409,3471.95933,3471.8898908134,3472.0287691865997,False
410,3476.74714,3476.6776050572,3476.8166749427996,False
411,3477.70426,3477.6347059147997,3477.7738140852,False
412,3478.463542,3478.39397272916,3478.5331112708395,False
413,3478.76883,3478.6992546234,3478.8384053765994,False
414,3480.052529,3479.98292794942,3480.12213005058,False
415,3481.002984,3480.9333639403203,3481.07260405968,False
416,3484.080004,3484.01032239992,3484.1496856000795,False
417,3484.943524,3484.87382512952,3485.0132228704797,False
418,3485.472192,3485.40248255616,3485.54190144384,False
419,3488.833855,3488.7640783229,3488.9036316770994,False
420,3489.184152,3489.11436831696,3489.2539356830393,False
421,3489.5076,3489.4378098479997,3489.5773901519997,False
422,3490.872959,3490.8031415408195,3490.9427764591796,False
423,3491.24371,3491.1738851258,3491.3135348742,False
424,3491.535601,3491.46577028798,3491.6054317120197,False
425,3491.900053,3491.83021499894,3491.9698910010598,False
426,3495.699846,3495.62993200308,3495.7697599969197,False
427,3496.810716,3496.74077978568,3496.8806522143195,False
428,3497.686065,3497.6161112787,3497.7560187212994,False
429,3498.621016,3498.55104357968,3498.6909884203196,False
430,3501.455948,3501.3859188810397,3501.5259771189594,False
431,3504.992236,3504.92213615528,3505.0623358447197,False
432,3505.494138,3505.42402811724,3505.56424788276,False
433,3506.132793,3506.0626703441403,3506.20291565586,False
434,3506.645794,3506.57566108412,3506.7159269158797,False
435,3506.852035,3506.7818979593,3506.9221720406995,False
436,3509.777919,3509.70772344162,3509.8481145583796,False
437,3514.387363,3514.31707525274,3514.4576507472593,False
438,3516.354506,3516.28417890988,3516.4248330901196,False
439,3516.577158,3516.50682645684,3516.6474895431597,False
440,3516.824308,3516.75397151384,3516.89464448616,False
441,3518.404024,3518.33365591952,3518.4743920804794,False
442,3519.993364,3519.9229641327197,3520.0637638672797,False
443,3521.059481,3520.98905981038,3521.1299021896193,False
444,3521.259918,3521.18949280164,3521.33034319836,False
445,3523.50615,3523.435679877,3523.576620123,False
446,3523.758548,3523.68807282904,3523.8290231709593,False
447,3524.178731,3524.10824742538,3524.2492145746196,False
448,3524.536471,3524.4659802705796,3524.6069617294197,False
449,3527.000519,3526.92997898962,3527.07105901038,False
450,3527.322379,3527.25183255242,3527.3929254475797,False
451,3528.411658,3528.34108976684,3528.4822262331595,False
452,3529.385973,3529.31538528054,3529.4565607194595,False
453,3530.51478,3530.4441697044,3530.5853902955996,False
454,3531.450561,3531.37993198878,3531.52119001122,False
455,3536.976754,3536.9060144649197,3537.0474935350794,False
456,3537.159758,3537.0890148048397,3537.2305011951594,False
457,3538.212569,3538.1418047486195,3538.2833332513796,False
458,3539.322306,3539.25151955388,3539.3930924461197,False
459,3539.587276,3539.51648425448,3539.65806774552,False
460,3539.840089,3539.76929219822,3539.9108858017794,False
461,3541.969699,3541.8988596060203,3542.04053839398,False
462,3545.595189,3545.52427709622,3545.66610090378,False
463,3545.843139,3545.77222213722,3545.9140558627796,False
464,3547.917487,3547.84652865026,3547.98844534974,False
465,3548.514041,3548.44307071918,3548.58501128082,False
466,3549.595944,3549.52495208112,3549.66693591888,False
467,3551.401923,3551.33089496154,3551.4729510384595,False
468,3553.110325,3553.0392627935003,3553.1813872065,False
469,3554.305517,3554.2344308896595,3554.3766031103396,False
470,3555.704633,3555.6335189073397,3555.7757470926595,False
471,3556.314437,3556.2433107112597,3556.38556328874,False
472,3556.903771,3556.8326329245797,3556.9749090754194,False
473,3561.030143,3560.9589223971398,3561.1013636028597,False
474,3561.407943,3561.3367148411403,3561.47917115886,False
475,3563.911118,3563.83983977764,3563.9823962223595,False
476,3565.604254,3565.53294191492,3565.6755660850795,False
477,3566.371807,3566.30047956386,3566.4431344361396,False
478,3567.26381,3567.1924647237997,3567.3351552761997,False
479,3569.620438,3569.54904559124,3569.6918304087594,False
480,3569.820475,3569.7490785904997,3569.8918714095,False
481,3570.357715,3570.2863078457,3570.4291221543,False
482,3570.523976,3570.4525655204798,3570.5953864795197,False
483,3571.00922,3570.9377998155996,3571.0806401843997,False
484,3571.573099,3571.5016675380202,3571.6445304619797,False
485,3572.067237,3571.9957956552603,3572.1386783447397,False
486,3573.219647,3573.14818260706,3573.2911113929395,False
487,3577.215674,3577.14412968652,3577.2872183134796,False
488,3577.599396,3577.52784401208,3577.6709479879196,False
489,3578.355625,3578.2840578875002,3578.4271921124996,False
490,3578.949763,3578.87818400474,3579.0213419952597,False
491,3581.608015,3581.5363828397,3581.6796471602993,False
492,3582.009135,3581.9374948173,3582.0807751826997,False
493,3582.354424,3582.28277691152,3582.4260710884796,False
494,3584.175638,3584.10395448724,3584.2473215127598,False
495,3588.440232,3588.3684631953597,3588.5120008046397,False
496,3589.749503,3589.67770800994,3589.8212979900595,False
497,3589.994165,3589.9223651167,3590.0659648833,False
498,3591.254823,3591.18299790354,3591.32664809646,False
499,3591.452414,3591.38058495172,3591.5242430482795,False
500,3594.111161,3594.0392787767796,3594.1830432232196,False
501,3594.721647,3594.6497525670597,3594.7935414329395,False
502,3594.985616,3594.91371628768,3595.0575157123194,False
503,3595.617736,3595.54582364528,3595.68964835472,False
504,3597.495522,3597.42357208956,3597.56747191044,False
505,3598.119977,3598.0480146004597,3598.1919393995395,False
506,3598.524701,3598.4527305059796,3598.5966714940196,False
